,AF3,AF4,Fp1,Fp2,AF7,AF8
0,-0.0295502562075853,-0.0135648213326931,-0.0213472917675972,-0.0133826918900013,-0.0166092459112406,-0.0304912813007832
1,-0.0286226365715265,-0.0137641662731767,-0.0217735785990953,-0.0126038854941726,-0.0140302358195186,-0.0301507413387299
2,-0.0274826176464558,-0.0141156380996108,-0.0198473576456308,-0.0117483036592603,-0.0103651350364089,-0.027342027053237
3,-0.0271891783922911,-0.0143917184323072,-0.017401110380888,-0.0114000774919987,-0.0075851688161492,-0.0242924131453037
4,-0.0274376403540373,-0.0130662396550179,-0.0146884452551603,-0.0098245199769735,-0.0054431795142591,-0.0210286788642406
5,-0.0281756464391947,-0.0107752066105604,-0.0124471597373486,-0.007140168454498,-0.0039022886194288,-0.0180661585181952
6,-0.0296744015067816,-0.0100529557093978,-0.0123263774439693,-0.0056727463379502,-0.0039801015518605,-0.017008688300848
7,-0.031028974801302,-0.0117337396368384,-0.0139439534395933,-0.0064242486841976,-0.0049924552440643,-0.0173767879605293
8,-0.0311853475868702,-0.0147308548912406,-0.0159113854169846,-0.0086899437010288,-0.0055100787431001,-0.0180144645273685
9,-0.0306261088699102,-0.0176369547843933,-0.017898827791214,-0.0113452384248376,-0.0055911159142851,-0.0188140440732241
10,-0.0302265416830778,-0.0190300438553095,-0.0197501499205828,-0.0133987395092845,-0.0058592637069523,-0.0200681667774916
11,-0.0303403083235025,-0.0185521394014359,-0.0210952498018742,-0.0146538252010942,-0.0064864065498113,-0.0224331095814705
12,-0.0311352591961622,-0.0172569621354342,-0.0220309793949127,-0.0157797299325466,-0.0074520376510918,-0.0258735828101635
13,-0.0324307642877102,-0.0161154698580503,-0.0231720171868801,-0.017255675047636,-0.0089767472818493,-0.0290069859474897
14,-0.0338455773890018,-0.0153812505304813,-0.0247068759053946,-0.0187860988080502,-0.011070316657424,-0.030877536162734
15,-0.0351778864860535,-0.0150943901389837,-0.0260702129453421,-0.0194166786968708,-0.0127762854099274,-0.031571589410305
16,-0.0362175926566124,-0.0157300271093845,-0.0271624121814966,-0.0187805574387312,-0.0131889376789331,-0.0321126505732536
17,-0.0365185365080833,-0.0172386467456818,-0.0283797066658735,-0.0178929008543491,-0.011958752758801,-0.0333729758858681
18,-0.0359293557703495,-0.0182471610605717,-0.0296687986701727,-0.0176874920725822,-0.0094481809064745,-0.0340958014130592
19,-0.0348946303129196,-0.0182682126760483,-0.030801884829998,-0.0182982366532087,-0.0073182238265872,-0.0334712006151676
20,-0.0338802300393581,-0.018218208104372,-0.0315596908330917,-0.019054202362895,-0.0068383151665329,-0.0321633219718933
21,-0.0332058817148209,-0.0186258181929588,-0.0319176055490971,-0.0189812891185284,-0.0080220280215144,-0.0302545595914125
22,-0.0326184369623661,-0.0192759986966848,-0.0321363061666489,-0.0179983656853437,-0.0100016025826335,-0.0282381158322096
23,-0.0315114445984364,-0.0194580089300871,-0.0320452786982059,-0.0164149235934019,-0.0113576455041766,-0.0268188081681728
24,-0.0305428504943848,-0.0191827528178692,-0.0314151644706726,-0.0149046890437603,-0.0118538727983832,-0.0262789577245712
25,-0.0304587930440903,-0.0190495438873768,-0.0304462183266878,-0.0146607290953398,-0.0121027352288365,-0.0268599633127451
26,-0.0307128056883812,-0.0183794647455215,-0.0290344152599573,-0.0156818218529224,-0.0119056887924671,-0.0275015234947205
27,-0.0312872156500816,-0.0165934897959232,-0.0271400976926088,-0.0166649539023638,-0.0111406315118074,-0.027148412540555
