AF3,AF4,Fp1,Fp2,AF7,AF8
2.054896865,2.06072767,3.887100572,3.561868304,6.839815339,6.684678679
3.034651265,3.272404943,4.913345785,5.444754423,10.86442559,11.66538677
2.165717633,3.147464161,4.850815962,5.087064114,9.042700616,13.86813415
2.12298528,3.160501368,4.265419325,4.32364306,8.59838179,10.42364888
1.974453035,3.540634306,5.245712435,4.563473533,8.463487957,10.9810333
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
평균,평균,,,,
2.270540816,3.03634649,,,,
표준편차,표준편차,,,,
0.387503704,0.507862865,,,,
